,name,app_desc
10,AirWatch Agent,"VMware AirWatch® Agent app gives you easy access to apps, email, Wi-Fi and more to maximize your productivity. The app is the link your IT team needs to grant you access to those resources. All personal data, including personal email, text messages, photos, videos, web browsing and phone calls are protected and won’t be shared with your IT department.  
 
VMware AirWatch® Agent also lets you:
 
View Device Details
Access up-to-date information on the status of your device and ensure you stay in compliance with corporate rules set by your IT department to maintain access.
 
Stay in Touch with IT
Instantly access email and phone support from your IT department with fast access to important updates.
 
View Telecom Usage
Ensure you never exceed data usage limits on company-issued devices with easy data usage monitoring features.
 
For more information, please visit https://whatisairwatch.com/agent.html.
 
NOTE:
VMware AirWatch® Agent will not operate without the required VMware AirWatch® infrastructure. Please contact your IT administrator with any questions."
11,Redbox,"The official Redbox app takes your rental experience to a whole new level.

Find a box near wherever you’re at. Look inside of it to see what DVDs, Blu-ray™ Discs and games are for rent. Then reserve your discs for quick pickup later that day.

Watch movie trailers, and search movies by name, release date and genre.

See what’s coming soon, and sign up to get email reminders on the day they come to the box.

See a list of the closest Redbox locations, and get driving directions to any box in the country."
12,DB Navigator,"My DB Navigator – the perfect travel app:

Mobile phone tickets, real-time information, delay notifications and personal travel details – DB Navigator's wide range of functions provide you with the information you need to get to your destination with a minimum of fuss. From travel information to arriving at your destination, from ICEs to city buses, on the road, door to door – DB Navigator has a service for any situation. And, if you want, DB Navigator can also provide your ticket. 

Mobile phone ticket – reserve your ticket and display it on your mobile
Select and book your ticket whenever and wherever you want. Once you have purchased the mobile phone ticket (""Handy-Ticket"""")"
13,Solitaire,"Solitaire by MobilityWare is the ORIGINAL maker of Solitaire with Daily Challenges. We’re ALWAYS updating our Solitaire to include fun new features! If you like Windows Solitaire, you're going to LOVE this app!! The familiar Windows Solitaire game you used to play on your computer is now available on the go!

We are the original creators of Daily Challenges! Each day you’ll receive a unique Daily Challenge. Solve the Daily Challenge and receive a crown for that day. Earn trophies each month by winning more crowns! Your Daily Challenges, crowns, and current trophy status are available to view any time. You can also play Daily Challenges on the Apple Watch! Play the current day’s deal and replay it as many times as you’d like on that day. 

Play by yourself or challenge other players in real-time. Solitaire can deal the same hand to multiple players so they can compete against each other at the same time. You can have your choice of playing with your friends or testing your solitaire strategy against a completely random player. Just because it’s Solitaire doesn’t mean that the play has to be solitary!

Haven't won in a while? The Winning Deals feature creates a game that deals hands guaranteed to have at least one winning solution. Use ""Show Me How To Win"""" to help walk you through the moves required to win the deal if you still need a hand."
14,Fruit Ninja Classic,"Slice fruit, don’t slice bombs – that is all you need to know to get started with the addictive Fruit Ninja action!

From there, explore the nuances of Classic, Zen and the fan favorite Arcade mode to expand your skills. Slice for a high score, use powerups and special bananas to maximum effect, and go crazy on the multi-slice Pomegranate.

All Blades and Dojos now have a unique effect on gameplay. Want a ten-fruit Great Wave? Bouncing clouds to never drop a fruit? Swirling tornados for epic combos? Mix and match your gear, experiment with all the powers and find what works for you!

There has never been a better time to play Fruit Ninja, so unsheath your sword and see what’s new in the game that started it all.

This is still just the beginning – we can’t wait for everyone to join us!


IMPORTANT NOTICE

This game contains optional in-app purchases. You can disable this feature in the settings menu of your device.

View our privacy policy at http://halfbrick.com/pp
Views our terms of service at Http://halfbrick.com/tos"
15,Edmodo,"Edmodo is a free and easy-to-use classroom tool that lets you share files and assignments across a global network.  

ENGAGE YOUR STUDENTS
With Edmodo, you can connect your classroom around a single network and keep track of each of your students’ progress. Students can login and participate from any phone, tablet or computer, and can take quizzes from within the app. Facilitate discussion and debate within a single class group or browse topics for extra resources related to your subject.


GRADE ASSIGNMENTS ANYWHERE
Send and grade assignments from your iPhone or iPad, anywhere with an internet connection. Your students can even check their grades through the app. Edmodo integrates with Office Online, so you can view and edit documents, presentations and spreadsheets from your iPhone or iPad with native Office apps synced to your account.


MANAGE YOUR CLASSROOM
Create groups within your classroom and have students communicate with each other for in-class activities and projects. Monitor activity and posts in these groups straight from the Edmodo iOS app.


EDMODO FEATURES AT A GLANCE
Share files, videos, and links with students and other teachers
Post assignments and view homework
Review classroom and small group activity
Find educational resources for your classroom
Track student grades and scores
Create and review Office Online documents with native Office app support


EdTech Digest Award Winner – Best Product


“Students love the app and...they always keep updated with new posts and notes.” - Alessandra Pallavicini, EFL teacher, Italy


“Edmodo continues to be my ‘go to’ place for learning, sharing and collaborating with educators.”
Sandy McConnell, Teacher, United States


“All my students are on Edmodo and now I cannot think of any other way I could teach, there are so many advantages compared to my previous teaching style! I use the platform to communicate with students, share resources, assign tasks and then annotate them and send them back to students.”
Lucia Bartolotti, EFL Teacher, Italy


“As a classroom teacher, I find that education can sometimes be isolating even though I work with approximately 75 other teachers. I am so happy that I am able to collaborate with other teachers who are also using Edmodo, as this really helps me feel connected.” 
Shelby Place, Teacher, China


“The ability to connect with international educators and share that experience with my students is a major perk.” - Lacey, Teacher, United States


“I've used different products but I stick with Edmodo because it is easy to use, appealing to my students, and most of all, it's packed with features!” -Anna Lyn Lumibao, Teacher


For more information, visit www.edmodo.com."
16,Fly Delta,"Welcome to Fly Delta 4.0, the biggest update yet to Delta’s award winning iPhone app. With a redesigned Today screen which provides quick access to your eBoarding pass and other important day-of-travel information, Fly Delta makes travel easier than ever before.

• Find, compare and book Domestic and International flights
• Book SkyMiles® award tickets
• Purchase Delta Comfort+™ and Trip Extras, including in-flight Wi-Fi, Priority Boarding and more
• Reserve Preferred Seats like bulkhead and aisle
• Rebook cancelled flights or missed connections
• Manage your trips, profile and customize your travel preferences
• Check your SkyMiles® account balance and current Medallion® status
• Check in, view your eBoarding Pass and add it to Apple Wallet
• Pay for checked bags and track their location
• Check the latest flight status and receive flight and gate change notifications
• Save a photo to remember your parking spot
• Check your status on the upgrade or standby list
• View or change your seat
• Locate Delta Sky Club® lounges
• View interactive airport maps, public transportation details and weather information
• Get detailed info about our fleet and partners
• Map flights en route with an interactive flight tracker
• “Today” gathers everything you need for your day of travel into one convenient place
• “Feed” ensures you always have the latest flight updates, gate changes and more
• View countdown to departure and arrival along with gate and baggage carousel information on Apple Watch

The Fly Delta app for iPhone and delta.com are always free to use on Delta’s Wi-Fi-enabled flights. Visit delta.com/app for more information."
17,Paprika Recipe Manager,"Delightfully simple recipe management for everyone: from aspiring cooks to professional chefs. With web importing, grocery lists and meal planning, Paprika is the perfect kitchen companion. If you love to cook, Paprika will be most useful app you've ever downloaded!

Use Paprika Cloud Sync to wirelessly sync between your devices and take your recipes with you everywhere you go! (Please note: each version of Paprika is sold separately for each device, but Paprika Cloud Sync is a free service.)

FEATURES

• Create and modify your own recipes on any device.
• Automatically download recipes from hundreds of websites with a single tap.
• Integrated browser clipboard tools help you clip recipe information from any website.
• Smart recipe view: cross off ingredients when you're done with them, highlight your current step, and keep the screen on while you are cooking.
• Tools to help you cook: start multiple timers, pin active recipes to easily switch between them, and scale ingredients to your desired serving size.
• Timers are automatically detected in your directions: simply tap on one to start!
• Store nutritional information (automatically saved from sites which provide it) and personalized notes for each recipe.
• Find your recipes in a flash with our powerful subcategory organization and advanced search tools which let you search by name, ingredient or source.
• Intelligent grocery list automatically combines your ingredients and sorts them by aisle.
• Use the pantry to keep track of what ingredients you already have.
• Save time and money by planning your meals by the week and month! Create reusable menus from your favorite meals.
• Print and email support for recipes, grocery lists, and meal plans. Support for multiple recipe print sizes including index cards.
• Share recipes via AirDrop or email (that other Paprika users can automatically import).
• Import existing recipes from popular desktop apps such as MacGourmet, YummySoup!, MasterCook & Living Cookbook.
• Export your meal plans to iCal and your grocery lists to Reminders.
• Manual backup and restore keeps your recipe collection safe.
• Offline access. All of your data is stored locally, no internet connection is required to view your recipes.
• Paprika Cloud Sync. Keep your recipes, grocery lists, and meal plans seamlessly synced between all your devices!
• Bookmarklet. Capture recipes from your web browser straight into your Paprika Cloud Sync account.

REVIEWS

""However"
18,NBA JAM by EA SPORTS™,"BOOMSHAKALAKA!!!  Jam with a friend in Local Multiplayer and rock your iPhone or iPod touch with all the over-the-top, high-flying, 2-on-2 arcade basketball action just like you remember it – and like you’ve never seen before! Go to the hole. Go strong. Go for the monster jam. KABOOM!

This app offers in-app purchases. You may disable in-app purchasing using your device settings. See http://support.apple.com/kb/HT4213 for more info

FANS & CRITICS ARE ALL ON FIRE! 

“NBA JAM brings arcade hoops directly to your pocket — no quarters required.” (App Store “iPhone GAME OF THE WEEK”)


 “…overwhelmingly satisfies in every way if you were ever a fan of the original NBA Jam series.” (Jared Nelson, Touch Arcade)

“4/4 MUST HAVE…a sports game that action or arcade gamers will love…” (Andrew Podolsky, Slide to Play)

“…solid controls, great graphics, and fun on-the-court action” (Tracy Erickson, PocketGamer)

“It performs flawlessly in every way.” (IntoMobile)

HEAT UP ON iPHONE & iPOD TOUCH
Jam with all 30 NBA teams and your favorite NBA stars! Unlock legends from the classic arcade era like Scottie Pippen, Dennis Rodman, Dr. J, Scott Skiles, Karl Malone, Detlef Schrempf, and Danny Manning –  plus some secret players you can only get on iOS. Open up outrageous cheats, too. And if you can’t wait to go big, all the unlocks are available for instant purchase and download in the JAM store!

PLAY NOW! PLAY CLASSIC! PLAY HEAD-TO-HEAD AGAINST A FRIEND!
3 modes of play let you ball the way you want:
• Play Now – Select a team and jump right into the ballgame
• Classic Campaign –  Defeat all other teams to win the championship, and unlock legends, hidden players and cheats
• Local Multiplayer – Go big head 2 big head against a friend on iPhone/iPod touch or iPad via local WiFi and Bluetooth
Also select from two different control schemes (D-Pad and gesture-based) and take advantage of the outstanding versatility of your iPhone/iPod touch. Is it the shoes? 

YOU’RE ON FIRE!
If you’re from the Old School, you’ll feel the ‘90s nostalgia while you play the hottest new arcade sports game on the App Store. Featuring the voice of Tim Kitzrow (the original NBA JAM play-by-play announcer), you’ll hear all the classic catchphrases plus a few new ones recorded just for this game. This JAM is all about “boomshakalaka”¬– and beyond!    
_______________________________________

Be the first to know! Get inside EA info on great deals, plus the latest game updates, tips & more…
VISIT US: ea.com/iphone
FOLLOW US: twitter.com/eamobile
LIKE US: facebook.com/eamobile
WATCH US: youtube.com/eamobilegames


User Agreement: terms.ea.com
Visit https://help.ea.com/ for assistance or inquiries.

EA may retire online features and services after 30 days’ notice posted on www.ea.com/1/service-updates.

Important Consumer Information.  Requires acceptance of EA’s Privacy & Cookie Policy and User Agreement. This app: Contains direct links to the Internet; Collects data though third party ad serving and analytics technology (See Privacy & Cookie Policy for details)."
19,Fruit Ninja®,"Slice fruit, don’t slice bombs – that’s all you need to know to get started with the addictive Fruit Ninja action! 
No matter how you like to play, the free version of the game is packed with features to satisfy your fruit-destroying appetite.

Challenge yourself and see how long you can last in Classic mode, set a high score in Arcade mode or simply practise your fruit-slicing skills in Zen mode. A wide range of blades and dojos are at your disposal to help you cut your way to the top. Want more fun? Take a break and experience a new way to slice your favourite fruit with minigames, or test your mastery of the game and win prizes in the daily Challenge event. Go head-to-head and show off your skills as the ultimate ninja against your friends with leaderboards and local multiplayer.

Up for a real challenge? Play Event mode and do battle against other ninjas for the chance to win unique blades and dojos. 
That’s not all though - give yourself the edge by logging in every day and be rewarded with daily prizes, including rare blades and dojos that you can use in other game modes!

There has never been a better time to play Fruit Ninja, so unsheathe your sword and get ready for an addictive, action-packed gaming experience!

IMPORTANT NOTICE

This game contains optional in-app purchases. You can disable this feature in the settings menu of your device.

View our privacy policy at http://halfbrick.com/pp
View our terms of service at http://halfbrick.com/tos
Need help with the game? Email us at fruitninja@halfbrick.com"
20,The Guardian,"Get the whole picture the whole time with the free Guardian app.

Specially crafted for iPhone, iPad, this app brings you breaking news and full access to all of the Guardian's award-winning content. Tailor your home screen with the sections that matter most to you, follow your favourite writers and stories for personal alerts, keep reading when you're offline, save content for as long as you like, and get personal, compelling content at any time on your devices.

• Stay up to date with live news and sport
• Enjoy the full range of Guardian content, beautifully designed for iPad and iPhone
• Keep reading offline
• Make it yours by choosing the sections and topics that appear on your home screen
• Be informed with breaking news alerts
• Follow your favourite stories, series, writers and football teams for personal notifications
• Browse award-winning audio, video and interactive content, as well as full-screen galleries, with stunning Retina-quality images
• Save any content you want to keep
• Read comments on articles and share your own thoughts
• Search by keyword, topic, series, section, or contributor
• Upgrade to the premium tier for our daily crosswords, specially curated content, extracts from Guardian Books, and an advert-free experience

Please note: this app is totally free to use. You can become a supporter of the Guardian for £5 a month and get all the benefits of the premium tier as well as supporting independent journalism. If you choose to upgrade to the premium tier - £2.49 / $2.99 (USD) a month or £11.99 / $15.99 (USD) for six months (or local equivalent) - your payment can be taken immediately and processed by Apple.

Premium tier subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Your iTunes account will be charged for renewal within 24-hours prior to the end of the current period. You may turn off auto-renewal after purchase by going to your iTunes Account Settings.


Terms of use
All content in the Guardian app is copyright Guardian News & Media 2015. All rights reserved. Terms of use and privacy policy apply when accessing content via the Guardian app.
• Privacy policy: http://www.theguardian.com/help/privacy-policy
• Terms and conditions: http://www.theguardian.com/help/terms-of-service"
21,Mad Skills Motocross,"- “If you're in the market for a fast-paced arcade-style racing game it doesn't get much better than Mad Skills Motocross.” TouchArcade.com
- “Mad Skills Motocross is maybe the best game in the genre.” AppCraver.com
- “Mad Skills MX is a should buy that will have your finger glued to the green gas pedal for hours.” AppAdvice.com
- “Mad Skills is loads of fun and a great app in every aspect.” AppSafari.com
- “Mad Skills Motocross is a must-have iPhone game for any racing game fan.” Download.cnet.com
- “It’s a huge amount of fun for the price and you’ll find yourself easily spending hours trying to shave off a few precious milliseconds from your previous best time.” 148apps.com
- “This simply is a must-buy for all stunt-racing fans.” AppModo.com

Now includes Amateur and Pro modes, for both casual and high-level gamers!

Description: Turning a fan-favorite genre on its head, the hyper-addictive Mad Skills Motocross plays and feels like no other side-scrolling racing game. The unparalleled physics engine and unexpected power-ups give you a level of control that you have to play to believe. Launch off an enormous jump, land on your rear wheel, hit the throttle, and leave your opponent in a spray of dirt—then brag about it on Facebook and Twitter! Mad Skills Motocross is fun for novices but deep enough for nearly endless competitive high-level play. You’ll need to master wheelies, stoppies, nitro, rocket boots, backflips, front flips, and much more to truly be the best.

See what players of the desktop version of Mad Skills Motocross have known since 2009: it’s the best side-scrolling motocross game ever made.

Get it today!

Features:
* NEW: Tournament - Play against other's replays for real prizes
* Change the appearance of your bike and rider
* Compete on 52 tracks, from easy to very technical
* 30 more awesome tracks available as in-app purchases
* Compete in Career or Time Attack modes
* Compete in either Amateur or Pro modes for varying levels of difficulty
* Ten additional free tracks for everyone
* Two bonus tracks for our social media friends
* Use five different power-ups to find faster ways through tracks
* Race your own ""ghost"""""
22,Temple Run,"""In pretty much every treasure hunting adventure movie there’s one specific scene in which the plucky hero finally gets his hands on the treasure but then has to navigate a maze of booby traps in order to get out alive. Temple Run is this scene and nothing else. And it’s amazing."""" - SlideToPlay.com"
23,Angry Birds Rio,"FREE FULL GAME – DOWNLOAD NOW!

What happens when everyone's favorite fierce fowl get caged and shipped to Rio? They get very angry!

OFF TO RIO!
The original Angry Birds have been kidnapped and taken to the magical city of Rio de Janeiro! They’ve managed to escape, but now they must save their friends Blu and Jewel – two rare macaws and the stars of the hit movies, Rio and Rio 2.

THE MIGHTY EAGLE!
The Mighty Eagle is a one-time in-app purchase that you can use forever. If you get stuck on a level, this cool creature will dive from the skies to smash those meddling monkeys into oblivion. There’s just one catch: you can only use the Mighty Eagle once per hour! Mighty Eagle also includes all new gameplay goals and achievements.

POWER-UPS!
Boosting your birds’ abilities helps you complete levels with three stars so you can unlock extra content! Power-ups include the Sling Scope for laser targeting, Power Potion to supersize your birds, Samba Burst for dancing destruction, TNT for a little explosive help and Call the Flock for a blizzard of Macaw mayhem!

320 FUN LEVELS! Plus 72 action-packed bonus levels across 12 addictive episodes!

SPECTACULAR BOSS FIGHTS! Put your bird flinging skills to the ultimate test!

CALL THE FLOCK! Get some demolition help from your Macaw buddies!

POWER POTION! Juice up your bird! Power Potion transforms any bird into a devastating giant!

UNLOCK BONUS LEVELS! Find objects hidden throughout the game to unlock even more levels!

-----
Follow us on Twitter:
http://twitter.angrybirds.com

Become a fan of Angry Birds on Facebook!
http://facebook.angrybirds.com

Terms of Use: http://www.rovio.com/eula

This application may require internet connectivity and subsequent data transfer charges may apply.


Important Message for Parents

This game may include:
- Direct links to social networking websites that are intended for an audience over the age of 13.
- Direct links to the internet that can take players away from the game with the potential to browse any web page.
- Advertising of Rovio products and also products from select partners.
- The option to make in-app purchases. The bill payer should always be consulted beforehand."
